q1,q2,q3,xe,ye,thetae,t1,t2,t3
2.6093876361846924,-2.7676267623901367,1.173986554145813,5,7.96969696969697,57.89680913766868,4.57,8.4,58.2
2.6081130504608154,-2.7641968727111816,1.1734626293182373,5,8.0,57.9946167919165,4.57,8.43,58.29
2.606847047805786,-2.7607688903808594,1.1729230880737305,5,8.030303030303031,58.09189306434685,4.56,8.46,58.38
2.6055898666381836,-2.7573413848876953,1.1723649501800537,5,8.06060606060606,58.18864171741354,4.56,8.48,58.48
2.6043403148651123,-2.7539148330688477,1.1717902421951294,5,8.09090909090909,58.284866484902196,4.56,8.51,58.57
2.603100538253784,-2.7504897117614746,1.1711997985839844,5,8.121212121212121,58.380571072093,4.56,8.54,58.66
2.601868152618408,-2.747065544128418,1.1705913543701172,5,8.151515151515152,58.475759155924976,4.55,8.57,58.75
2.6006438732147217,-2.743642807006836,1.1699661016464233,5,8.181818181818182,58.57043438516149,4.55,8.6,58.84
2.599428415298462,-2.7402210235595703,1.1693251132965088,5,8.212121212121213,58.664600380556905,4.55,8.63,58.93
2.59822154045105,-2.7368006706237793,1.1686662435531616,5,8.242424242424242,58.75826073502444,4.54,8.65,59.02
2.597022771835327,-2.7333807945251465,1.1679919958114624,5,8.272727272727273,58.851419013805,4.54,8.68,59.11
2.595832109451294,-2.7299628257751465,1.1673012971878052,5,8.303030303030303,58.94407875463687,4.54,8.71,59.2
2.59464955329895,-2.7265448570251465,1.1665948629379272,5,8.333333333333334,59.03624346792648,4.54,8.74,59.28
2.5934741497039795,-2.7231287956237793,1.1658726930618286,5,8.363636363636363,59.12791663691969,4.53,8.77,59.37
2.5923078060150146,-2.7197132110595703,1.1651337146759033,5,8.393939393939394,59.219101717874004,4.53,8.79,59.46
2.591148853302002,-2.7162985801696777,1.1643786430358887,5,8.424242424242424,59.30980214023127,4.53,8.82,59.54
2.5899970531463623,-2.7128853797912598,1.163609266281128,5,8.454545454545455,59.400021306791054,4.52,8.85,59.63
2.5888540744781494,-2.709473133087158,1.162824034690857,5,8.484848484848484,59.48976259388444,4.52,8.88,59.71
2.5877182483673096,-2.706061840057373,1.162022590637207,5,8.515151515151516,59.57902935154835,4.52,8.91,59.8
2.586590528488159,-2.702650547027588,1.1612061262130737,5,8.545454545454545,59.66782490370006,4.52,8.93,59.88
2.58547043800354,-2.6992416381835938,1.1603754758834839,5,8.575757575757576,59.75615254831231,4.51,8.96,59.97
2.584357500076294,-2.695833206176758,1.159528136253357,5,8.606060606060606,59.84401555758838,4.51,8.99,60.05
2.583252429962158,-2.6924266815185547,1.1586666107177734,5,8.636363636363637,59.93141717813756,4.51,9.02,60.13
2.5821545124053955,-2.6890196800231934,1.1577903032302856,5,8.666666666666666,60.01836063115067,4.5,9.04,60.21
2.581063985824585,-2.685614585876465,1.1568986177444458,5,8.696969696969697,60.1048491125757,4.5,9.07,60.3
2.5799813270568848,-2.6822099685668945,1.1559926271438599,5,8.727272727272727,60.190885793293475,4.5,9.1,60.38
2.5789051055908203,-2.678806781768799,1.1550713777542114,5,8.757575757575758,60.276473819293315,4.5,9.13,60.46
2.577836751937866,-2.6754045486450195,1.1541372537612915,5,8.787878787878787,60.36161631184866,4.49,9.15,60.54
2.5767760276794434,-2.6720027923583984,1.1531871557235718,5,8.818181818181818,60.44631636769256,4.49,9.18,60.62
2.5757217407226562,-2.6686019897460938,1.1522231101989746,5,8.848484848484848,60.530577059193014,4.49,9.21,60.7
2.5746750831604004,-2.66520357131958,1.1512444019317627,5,8.878787878787879,60.6144014345282,4.48,9.24,60.77
2.573634386062622,-2.661803722381592,1.1502532958984375,5,8.90909090909091,60.69779251786134,4.48,9.26,60.85
2.572601795196533,-2.6584062576293945,1.1492477655410767,5,8.93939393939394,60.78075330951538,4.48,9.29,60.93
2.5715761184692383,-2.6550087928771973,1.1482266187667847,5,8.969696969696969,60.863286786147484,4.48,9.32,61.01
2.570556879043579,-2.651613235473633,1.1471928358078003,5,9.0,60.94539590092286,4.47,9.34,61.09
2.569544553756714,-2.6482186317443848,1.1461454629898071,5,9.030303030303031,61.02708358368854,4.47,9.37,61.16
